name,group,family,sub_family,sex,weight_mean,weight_sd,weight_min,weight_max,weight_n,head_body_mean,head_body_sd,head_body_min,head_body_max,head_body_n,tail_mean,tail_sd,tail_min,tail_max,tail_n,ear_mean,ear_sd,ear_min,ear_max,ear_n,hind_foot_mean,hind_foot_sd,hind_foot_min,hind_foot_max,hind_foot_n,length_skull_mean,length_skull_min,length_skull_max,source
crocidura_muricauda,shrew,soricidae,crocidurinae,NA,4.4,NA,3,8,NA,61,NA,56,66,NA,77,NA,62,95,NA,9,NA,8.5,10,NA,12.2,NA,11.8,13,NA,18.2,17.8,18.8,kingdon
crocidura_nimbae,shrew,soricidae,crocidurinae,NA,12.5,NA,8,19,NA,81.7,NA,75,90,NA,53,NA,50,70,NA,NA,NA,NA,NA,NA,16.5,NA,16,17,NA,26,25.5,26.5,kingdon
crocidura_obscurior,shrew,soricidae,crocidurinae,NA,3.3,NA,2.5,4,NA,47.5,NA,45,50,NA,32.5,NA,30,35,NA,7,NA,6,8,NA,10,NA,10,10,NA,15.8,15.6,15.9,kingdon
crocidura_olivieri,shrew,soricidae,crocidurinae,NA,34.5,NA,31,65,NA,121,NA,110,140,NA,79.8,NA,70,100,NA,11.4,NA,9,14,NA,21,NA,18,23,NA,33,32,34.3,kingdon
crocidura_poensis,shrew,soricidae,crocidurinae,NA,13,NA,9,17,NA,86.5,NA,75,98,NA,57,NA,48,64,NA,10,NA,9,11,NA,17,NA,15,18,NA,24.1,23.7,24.5,kingdon
crocidura_theresae,shrew,soricidae,crocidurinae,NA,13.3,NA,7,18.4,NA,91.3,NA,78,101,NA,47.5,NA,34,55,NA,NA,NA,NA,NA,NA,14.8,NA,13,16,NA,22.8,21.3,24.4,kingdon
suncus_megalura,shrew,soricidae,crocidurinae,NA,5.5,NA,3,8,NA,60.8,NA,50,65,NA,88.8,NA,82,97.7,NA,8.3,NA,6,10,NA,15.5,NA,14,17,NA,18,16.8,18.6,kingdon
arvicanthis_niloticus,muridae,muridae,murinae,female,104.4,25.3,70,226,1496,157.3,11.8,128,190,440,132.2,12.7,100,166,388,18.4,1.3,15,23,420,30.5,1.7,26,35,408,NA,NA,NA,granjon
arvicanthis_niloticus,muridae,muridae,murinae,male,117.4,30.4,70,240,1466,164.4,15.4,127,202,484,135.3,12.5,101,179,416,18.8,1.4,15,23,456,31.8,2.1,26,38,450,NA,NA,NA,granjon
dasymys_rufulus,muridae,muridae,murinae,female,87.2,21.4,60,161,39,152.7,10.1,130,176,34,143,9.4,129,163,31,19.1,1.2,16,22,30,31.1,1.7,26,34,34,NA,NA,NA,granjon
dasymys_rufulus,muridae,muridae,murinae,male,109.8,29.8,63,182,29,161.9,15.2,132,192,33,136.7,13.7,114,168,30,19.4,1.6,15,23,30,32.2,1.7,28,35,32,NA,NA,NA,granjon
lemniscomys_linulus,muridae,muridae,murinae,female,35.5,5.5,30,45,6,106.7,7,100,119,6,112.6,10.3,103,128,5,16.3,1,15.5,18,6,24.2,0.8,23,25,5,NA,NA,NA,granjon
